REFERENCIA;STOCK;PRECIO;IVA;PROSPECTO;EAN13;DESCRIPCION;PC;FAMILIA;CATEGORIA;SUBCATEGORIA;LABORATORIO;PVP2;UBICACION
176922;0;8.50;3;;5054563100757;SENSODYNE REPAIR Ñ PROTECT FRESH MINT 1 ENVASE 75 ML;3.81;Parafarmacia;;;HALEON SPAIN S.A.;0.00;     
176944;3;13.95;2;;3401560504477;LACTIBIANE REFERENCE PILEJE 10 CAPSULAS;7.09;Productos Varios;;;PILEJE S.L.U.;0.00;     
177068;0;13.50;2;;8470001770684;DULCOSOFT SOLUCION ORAL 1 FRASCO 250 ML SABOR NEUTRO;8.07;Productos Varios;;;OPELLA HEALTHCARE SPAIN S.L.;0.00;     
177086;5;5.95;3;;8006540882436;ORAL-B 3DWHITE LUXE PERFECCION  1 ENVASE 75 ML;2.65;Parafarmacia;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;     
177174;0;12.95;3;;8470001771742;CLORETILO CHEMIROSA SPRAY PARA CRIOANESTESIA 1 ENVASE 100 G;6.80;Productos Varios;;;ERN, S.A.;0.00;     
177256;3;4.95;2;;8470001772565;CLORHEXIDINA ACOFAR 2% 1 SPRAY 25 ML;2.75;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
177299;0;3.95;2;;8001090078346;ABSORBENTE INCONTINENCIA ORINA MUY LIGERA AUSONIA DISCREET E;2.01;PARAFARMACIA;;;;0.00;     
177311;1;7.95;3;;8427426041363;PERIO AID 0.12 TRATAMIENTO COLUTORIO 1 ENVASE 150 ML;3.80;HIGIENE DENTAL;;;;0.00;COL-U
177709;0;8.95;2;;3574660259209;COMPEED JUANETES HIDROCOLOIDE 5 U;5.41;Productos Varios;;;HRA PHARMA IBERIA S.L.;0.00;EXP-O
177778;0;14.50;2;;8032472008354;NEOFITOROID BIOPOMADA HEMORROIDAL  1 ENVASE 40 ml;8.55;Productos Varios;;;ABOCA ESPAÑA, S.A.;0.00;     
177882;1;3.50;2;;8470001778826;MANASUL TE 10 BOLSITAS 1,5 G;2.01;Productos Varios;;;BIODES S.L.;0.00;     
177883;1;7.95;2;;8470001778833;MANASUL TE 25 BOLSITAS 1,5 G;3.91;Productos Varios;;;BIO3 ESPAÑA S.L.;0.00;     
177884;0;11.30;2;;8470001778840;MANASUL TE 50 BOLSITAS 1,5 G;6.72;Productos Varios;;;BIODES S.L.;0.00;     
177887;7;2.95;3;;8437000435761;MARTIDERM FLASH AMPOLLAS 1 AMPOLLA;1.45;Parafarmacia;;;MARTIDERM, S.L.;0.00;     
177954;0;12.95;0;;8470001779540;ELMEX PROTECCION CONTRA LA CARIES PASTA DENTAL 2 ENVASES 75;0.00;Producto Nuevo;;;;0.00;     
177991;0;14.95;3;;8470001779915;ACOFARDERM SPF 50+ ZONAS SENSIBLES STICK  1 STICK 15 G;7.91;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
178028;0;23.50;2;;8470001780287;OVUSITOL D 14 SOBRES;14.13;Productos Varios;;;ITALFARMACO S.A.;0.00;     
178140;0;15.95;1;;8428076000342;DUREX INVISIBLE EXTRA FINO EXTRA SENSITIVO PRESERVATIVOS 12 ;9.16;Productos Varios;;;RECKITT BENCKISER HEALTHCARE S.A.;0.00;
178141;2;20.50;1;;8428076000427;DUREX INVISIBLE EXTRA FINO EXTRA LUBRICADO PRESERVATIVOS 12 ;9.16;Productos Varios;;;RECKITT BENCKISER HEALTHCARE S.A.;0.00;
178437;1;47.18;3;;8437000435839;MARTIDERM SKIN COMPLEX ADVANCED  10 AMPOLLAS 2 ML;21.83;Parafarmacia;;;MARTIDERM, S.L.;0.00;     
178552;0;18.90;3;;8436561330034;GSE INTIMO PRO- OVULOS VAGINALES 10 OVULOS;12.57;Productos Varios;;;PRODECO PHARMA IBERICA S.L.;0.00;     
178554;0;14.95;3;;8436561330782;GSE INTIMO SOLUCION VAGINAL 2 FRASCOS 100 ML;10.36;Productos Varios;;;PRODECO PHARMA IBERICA S.L.;0.00;     
178681;1;6.70;3;;8427426013148;VITIS CINTA DENTAL CON FLUOR Y MENTA  50 M;3.42;Parafarmacia;;;DENTAID S.L.;0.00;
178682;3;8.95;2;;8470001786821;VITANS VITAMINA C+  20 COMPRIMIDOS EFERVESCENTES;3.68;Productos Varios;;;LABORATORIOS CINFA S.A.;0.00;     
178687;1;24.00;2;;8470001786876;FLAVIA NOCTA 30 CAPSULAS;14.68;Productos Varios;;;ITALFARMACO S.A.;0.00;     
178705;0;6.50;3;;8470003824996;SUERO FISIOLOGICO PHY BEBE MONODOSIS 18 UNIDADES 5 ML;1.85;Productos Varios;;;PHARMA INIZIA SL;0.00;     
178794;1;5.95;1;;4015400804376;TAMPAX PEARL SUPER 24 UNIDADES;3.72;Parafarmacia;;;;0.00;
178796;0;5.95;1;;4015400804406;TAMPAX PEARL TAMPON 100%ALGODON 24 UNIDADES SUPER PLUS;3.69;LÍNEA INFANTIL;;;;0.00;     
178799;0;5.50;1;;4015400715320;TAMPAX COMPAK TAMPON 100%ALGODON 22 UNIDADES REGULAR;2.74;PARAFARMACIA;;;;0.00;     
178800;1;5.75;1;;8006540458976;TAMPAX COMPAK TAMPON 100%ALGODON 20 UNIDADES SUPER;2.96;PARAFARMACIA;;;;0.00;     
178802;5;5.50;1;;8470000068157;TAMPAX COMPAK PEARL TAMPON 100%ALGODON 16 UNIDADES SUPER PLU;2.64;Productos Varios;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;     
178803;5;5.50;1;;8470000068133;TAMPAX COMPAK PEARL TAMPON 100%ALGODON 16 UNIDADES SUPER;2.64;Productos Varios;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;     
178804;5;5.50;1;;8470000068126;TAMPAX COMPAK PEARL TAMPON 100%ALGODON 16 UNIDADES REGULAR;2.64;Productos Varios;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;     
178899;6;29.95;3;;8470001788993;ISDIN FOTOPROTECTOR PEDIATRICS FUSION FLUID MINERAL BABY SPF;16.02;Parafarmacia;;;ISDIN, S.A.;0.00;     
178937;0;9.95;3;;8470001789372;ISDIN HYDRATION UREADINCALM OLEOGEL PROTECTOR  1 ENVASE 200 ;5.28;Parafarmacia;;;ISDIN, S.A.;0.00;     
178989;1;2.95;1;;8001090769800;EVAX SALVASLIP NORMAL 40 UNIDADES;1.51;Productos Varios;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;     
179073;0;7.50;2;;7322540770377;TENA MEN ESCUDO PROTECTOR EXTRA LIG 14U;3.82;Productos Varios;;;;0.00;
179086;1;19.55;3;;8428749884408;CUMLAUDE LAB: PREBIOTIC OVULOS 10 OVULOS VAGINALES;9.80;Productos Varios;;;DERMOFARM S.A.U.;0.00;     
179091;0;16.95;3;;5701943010853;PERSPIREX STRONG ANTITRANSPIRANTE 1 ROLL ON 20 ML;9.21;Parafarmacia;;;ORKLA CEDERROTH, S.A.U.;0.00;     
179100;0;28.95;3;;6001159112013;BIO-OIL  1 ENVASE 200 ML;14.11;DERMOFARMACIA;;;ORKLA CEDERROTH, S.A.U.;0.00;     
179109;0;13.95;3;;8436540335708;DEXIN EXTRA FUERTE SPRAY REPELENTE DE INSECTOS DE USO HUMANO;6.45;Parafarmacia;;;REVA HEALTH S.L.;0.00;     
179134;19;8.95;2;;8436540335289;PHARYSOL SINUS ACCION RAPIDA  1 ENVASE 15 ML;4.80;Productos Varios;;;REVA HEALTH S.L.;0.00;
179148;0;15.95;2;;8470001791481;EUPEPTIN KIDS POLVO 1 BOLSA 65 G;9.74;Productos Varios;;;TEOFARMA SRL;0.00;     
179177;0;6.50;1;;8006540468173;TAMPAX COMPAK TAMPON 100%ALGODON 26 UNIDADES SUPER PLUS;3.96;PARAFARMACIA;;;;0.00;     
179183;2;17.50;2;;3701145601851;LACTIBIANE ENFANT PILEJE GOTAS 1 ENVASE 30 ML + SOBRE;10.48;Productos Varios;;;PILEJE S.L.U.;0.00;     
179185;31;11.50;2;;3401528534805;LACTIBIANE IMEDIA PILEJE 4 STICKS ORODISPENSABLES;4.40;Productos Varios;;;PILEJE S.L.U.;0.00;     
179197;0;9.99;3;;3574661774015;NATUSAN POMADA PROTECTORA  1 ENVASE 75 ML;4.66;Productos Varios;;;JOHNSON & JOHNSON, S.A.;0.00;
179203;0;8.95;2;;8470001792037;CASENBIOTIC  5 SOBRES 1,9 G SABOR NEUTRO;5.11;Productos Varios;;;CASEN RECORDATI, S.L.;0.00;     
179298;1;41.50;2;;8434048418442;RODILLERA AIRTEX REF ATXOS700 1 UNIDAD ONE SIZE;24.43;Productos Varios;;;PRIM S.A.;0.00;
179363;1;15.95;3;;8437000435860;MARTIDERM SOLUCION MICELAR LIMPIADORA 3 EN 1  1 ENVASE 300 M;0.00;Parafarmacia;;;MARTIDERM, S.L.;0.00;     
179364;2;4.60;3;;8437000435877;MARTIDERM SOLUCION MICELAR LIMPIADORA 3 EN 1  1 ENVASE 75 ML;2.18;Parafarmacia;;;MARTIDERM, S.L.;0.00;     
179367;0;15.95;3;;8437000435891;MARTIDERM GEL MICELAR LIMPIADOR  1 ENVASE 200 ML;8.47;Parafarmacia;;;MARTIDERM, S.L.;0.00;     
179461;0;9.95;2;;8032472009016;LYNFASE TISANA BOLSITAS FILTRO 20 FILTROS 2 G;6.03;Productos Varios;;;ABOCA ESPAÑA, S.A.;0.00;     
179462;0;27.95;2;;8032472009009;LYNFASE CONCENTRADO FLUIDO MONODOSIS 12 FRASCOS 15 G;16.92;Productos Varios;;;ABOCA ESPAÑA, S.A.;0.00;     
179468;0;55.95;3;;8470001794680;THIOMUCASE CREMA ANTICELULITICA 2 TUBOS 200 ML KIT;23.72;Parafarmacia;;;ALMIRALL S.A.;0.00;     
179482;0;13.95;3;;8470001794826;AFTAMED GEL ORAL  1 ENVASE 15 ML;6.15;Parafarmacia;;;KERN PHARMA S.L.;0.00;     
179486;0;14.80;3;;8470001794864;AFTAMED SPRAY  1 ENVASE 20 ML;6.15;Parafarmacia;;;KERN PHARMA S.L.;0.00;     
179513;0;24.95;3;;8470001795137;PARPADUAL GEL CREMA 1 ENVASE 15 ML;13.34;Productos Varios;;;BRILL PHARMA S.L.;0.00;     
179555;0;14.95;3;;8470001795557;GUANTES DE LATEX CON POLVO ACOFAR TALLA S;4.62;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
179557;0;14.95;3;;8470001795571;GUANTES DE LATEX CON POLVO ACOFAR TALLA M;4.62;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
179605;1;14.95;3;;3282770394184;DEXYANE MED CREMA REPARADORA CALMANTE DUCRAY 1 TUBO 30 ML;7.45;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;
179607;1;23.95;3;;3282779347532;DEXYANE MED CREMA REPARADORA CALMANTE DUCRAY 1 TUBO 100 ML;11.42;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;     
179682;0;23.10;3;;3282770207774;AVENE CLEANANCE GEL LIMPIADOR 1 ENVASE 400 ML;12.07;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;     
179714;1;35.50;2;;8470001797148;ALFLOREX 30 CAPSULAS;20.58;Productos Varios;;;FARMASIERRA LABORATORIOS, S.L.;0.00;     
179904;1;15.95;2;;3578836110738;ARKOCAPSULAS CURCUMA BIO 40 CAPSULAS;9.27;Productos Varios;;;ARKOPHARMA LABORATORIOS S.A.U.;0.00;     
179992;13;10.20;2;;5420008514685;AROMAFORCE SPRAY NASAL 1 ENVASE 15 ML;5.80;PARAFARMACIA;;;;0.00;     
180003;1;2.95;3;;8470001800039;ACOFARMA ESYLMA DISCOS OVALES DESMAQUILLANTES 40 DISCOS;0.00;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
180045;0;4.95;3;;3282770138931;KLORANE PARCHES PARA OJOS ALISADORES ANTIFATIGA AL ACIANO BI;2.64;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;     
180046;6;14.95;3;;847000100466;MELAGYN OVULOS VAGINALES  10 OVULOS;6.58;Productos Varios;;;KERN PHARMA S.L.;0.00;     
180342;0;10.50;2;;3401164991475;PHYTOSTANDARD JENGIBRE  20 CAPSULAS VEGETALES;6.07;Productos Varios;;;PILEJE S.L.U.;0.00;     
180465;1;14.95;2;;8032472009351;GRINTUSS JARABE CON POLIRESIN PEDIATRIC 1 FRASCO 180 ML;9.07;Productos Varios;;;ABOCA ESPAÑA, S.A.;0.00;     
180466;1;15.95;2;;8032472009344;GRINTUSS JARABE CON POLIRESIN ADULTOS 1 FRASCO 180 ML;9.07;Productos Varios;;;ABOCA ESPAÑA, S.A.;0.00;     
180647;3;27.08;3;;8470001806475;ISDIN TEEN SKIN ACNIBEN BODY REDUCCION GRANOS CORPORALES 1 S;14.67;Parafarmacia;;;ISDIN, S.A.;0.00;     
180790;0;10.50;3;;8470001807908;MELAGYN 1 SPRAY 50 ML;4.84;Productos Varios;;;KERN PHARMA S.L.;0.00;-    
180893;4;9.95;3;;9842742603016;DESENSIN PLUS COLUTORIO 1 ENVASE 500 ML;6.37;HIGIENE DENTAL;;;;0.00;COL-U
180900;5;10.95;2;;8470001809001;DORMINATUR FORTE 30 COMPRIMIDOS LIBERACION PROLONGADA;6.48;Productos Varios;;;ESTEVE PHARMACEUTICALS S.A.;0.00;     
180985;0;15.95;3;;;PAÑAL DODOT BEBE SECO T3 6-10 KG 42 U;8.65;Productos Varios;;;;0.00;
181030;11;9.95;3;;8700216570961;CLEARBLUE TEST ANALOGICODE EMBARAZO  ULTRATEMPRANA  1 UNIDAD;3.91;Productos Varios;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;     
181097;2;17.95;3;;4005800164361;EUCERIN UREAREPAIR PLUS LOCION 10% 1 ENVASE 400 ML;7.86;Parafarmacia;;;BEIERSDORF S.A.;0.00;     
837468;9;3.95;1;;8006540470886;COMPRESAS HIGIENICAS FEMENINAS EVAX COTTONLIKE NOCHE CON ALA;2.20;PARAFARMACIA;;;;0.00;     
181235;3;99.95;3;;8470001812353;ISDINCEUTICS A.G.E. REVERSE 1 ENVASE 50 ML;52.43;Parafarmacia;;;ISDIN, S.A.;0.00;     
181422;4;13.95;1;;8428076000571;DUREX DAME PLACER PRESERVATIVOS 12 UNIDADES;6.69;Productos Varios;;;RECKITT BENCKISER HEALTHCARE S.A.;0.00;COL-3
181550;6;26.50;2;;8430442007060;EPAPLUS COLAGENO+HIALURONICO+CONDROITIN+MAGNESIO 21 DIAS 1 B;16.05;Parafarmacia;;;;0.00;     
181563;0;10.95;2;;3664492001227;URGO SOS CORTES 1 BANDA AUTOADHESIVA RECORTABLE;6.10;Parafarmacia;;;LABORATORIOS URGO S.L.;0.00;     
181598;1;12.95;3;;8470001815989;GINECANESCALM GEL CREMA 1 TUBO 15 G;5.93;Productos Varios;;;BAYER HISPANIA S.L.;0.00;     
181659;0;5.50;3;;4008600386711;DETERGENTE TETINAS Y BIBERONES NUK 1 ENVASE 500 ML;2.77;Productos Varios;;;MAPA SPONTEX IBERICA S.A.U.;0.00;     
181665;0;20.70;2;;8470001816658;AQUORAL FORTE GOTAS OFTALMICAS LUBRICANTES ESTERILES 30 MONO;12.56;Productos Varios;;;ESTEVE PHARMACEUTICALS S.A.;0.00;     
181816;1;31.20;3;;8470001818164;PAPILOCARE GEL VAGINAL 7 CANULAS 5 ML;16.89;Productos Varios;;;PROCARE HEALTH IBERIA S.L.;0.00;     
181868;0;16.95;3;;3282770145700;KLORANE ACONDICIONADOR A LA PEONIA BIO 1 TUBO 150 ML;9.04;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;     
182018;13;6.75;2;;8413647052585;NOVAFIX FORMULA PRO 3 1 ENVASE 50 G SIN SABOR;4.23;Parafarmacia;;;LABORATORIOS URGO S.L.;0.00;     
182136;0;9.95;2;;8436540335425;PHARYSOL TOS 1 ENVASE 170 ML;4.25;Productos Varios;;;REVA HEALTH S.L.;0.00;     
182143;2;15.60;1;;8428076000496;DUREX INTENSE ORGASMIC  12 PRESERVATIVOS;9.16;Productos Varios;;;RECKITT BENCKISER HEALTHCARE S.A.;0.00;
182176;0;37.95;3;;8470001821768;ALMOHADILLA ELECTRICA ACOFAR CONFORT 1 UNIDAD;14.12;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
182339;0;10.80;2;;5420008535253;AROMAFORCE SPRAY GARGANTA  1 ENVASE 15 ML;4.93;Productos Varios;;;PRANAROM ESPAÑA S.L.U.;0.00;     
182340;3;13.95;2;;5420008598623;ACEITE VEGETAL ROSA MOSQUETA 1 ENVASE 50 ML;0.00;Producto Nuevo;;;;0.00;     
182343;1;29.95;2;;8470001823434;GLUCOMETRO ACOFARMA NESIRA 1 MEDIDOR;17.25;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
182346;1;18.95;2;;8470001823465;TIRAS REACTIVAS GLUCEMIA ACOFARMA NESIRA 25 UNIDADES;7.85;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
182363;0;11.00;3;;3574661326306;BIAFIN EMULSION CUTANEA  1 ENVASE 50 ML;3.67;Parafarmacia;;;JOHNSON & JOHNSON, S.A.;0.00;
182364;0;14.75;3;;3574661326313;BIAFIN EMULSION CUTANEA 1 ENVASE 100 ML;4.92;Parafarmacia;;;JOHNSON & JOHNSON, S.A.;0.00;     
182398;0;6.50;3;;8435232335934;NORMOMAR SUERO FISIOLOGICO 30 MONODOSIS 5 ML;2.59;Productos Varios;;;LABORATORIOS NORMON S.A.;0.00;     
182504;0;19.95;2;;8032472010074;NEOFITOROID 50 CAPSULAS;11.82;Productos Varios;;;ABOCA ESPAÑA, S.A.;0.00;     
182530;3;6.50;3;;8412122440510;EYELINER CON DIFUMINADOR BETER NEGRO INTENSO;3.51;Parafarmacia;;;INDUSTRIAS BETER S.A.;0.00;     
182531;3;6.50;3;;8412122440527;EYELINER CON DIFUMINADOR BETER MARRON MOCA;3.51;Parafarmacia;;;INDUSTRIAS BETER S.A.;0.00;     
182534;3;6.50;3;;8412122440558;EYELINER CON DIFUMINADOR BETER VERDE SAFARI;3.51;Parafarmacia;;;INDUSTRIAS BETER S.A.;0.00;     
182540;5;10.50;3;;8412122440626;BETER MASCARA DE PESTANAS ULTRA-CURLING;5.76;Parafarmacia;;;INDUSTRIAS BETER S.A.;0.00;     
182654;0;21.30;2;;3578835310559;ARKOCAPSULAS GINSENG BIO 45 CAPSULAS;11.71;Productos Varios;;;ARKOPHARMA LABORATORIOS S.A.U.;0.00;     
182656;0;9.95;2;;6342584;ARKOPHARMA ALCACHOFA BIO 40 CAPSULAS;5.72;Productos Varios;;;ARKOPHARMA LABORATORIOS S.A.U.;0.00;     
182667;0;11.95;2;;8426594018429;BLEVIT PLUS SUPERFIBRA PAPILLA 5 CEREALES  1 ENVASE 600 G;7.08;Productos Varios;;;LABORATORIOS ORDESA, S.L.;0.00;INF-A
182692;0;8.00;3;;8058664080793;CHUPETE SILICONA CHICCO PHYSIOFORMA SOFT 6 - 12 MESES 2 UNID;4.35;Productos Varios;;;ARTSANA SPAIN S.A.U.;0.00;     
182694;0;8.00;3;;8058664080823;CHUPETE SILICONA CHICCO PHYSIOFORMA SOFT 6 - 12 MESES 2 UNID;4.34;Productos Varios;;;ARTSANA SPAIN S.A.U.;0.00;     
182752;1;18.50;2;;8032472010203;COLIGAS FAST 50 CAPSULAS;11.07;Productos Varios;;;ABOCA ESPAÑA, S.A.;0.00;     
182756;0;16.50;3;;8470001827562;BEXIDENT AFTAS SPRAY BUCAL PROTECTOR 1 ENVASE 15 ML;8.80;Parafarmacia;;;ISDIN, S.A.;0.00;     
182757;0;17.95;3;;8470001827579;BEXIDENT AFTAS COLUTORIO BUCAL PROTECTOR 1 ENVASE 120 ML;9.90;Parafarmacia;;;ISDIN, S.A.;0.00;     
182759;0;14.55;3;;8470001827593;BEXIDENT AFTAS GEL BUCAL PROTECTOR 1 ENVASE 8 ML;7.88;Parafarmacia;;;ISDIN, S.A.;0.00;     
183118;1;17.75;2;;3578836111353;ARKOCAPSULAS HINOJO  84 CAPSULAS;10.85;Productos Varios;;;ARKOPHARMA LABORATORIOS S.A.U.;0.00;
183217;0;11.95;2;;8470001832177;ORALCHUP  12 PASTILLAS;7.01;Productos Varios;;;LABORATORIOS VIÑAS, S.A.;0.00;     
183219;1;36.50;2;;847000132191;COMPLIDERMOL 5ALFA PLUS 60 CAPSULAS;22.17;Productos Varios;;;REIG JOFRE, S.A.;0.00;     
183526;0;14.95;2;;8430992122817;LEOTRON MAGNESIO + POTASIO 36 COMPRIMIDOS EFERVESCENTES;8.34;Productos Varios;;;ANGELINI PHARMA ESPAÑA S.L.U.;0.00;     
183622;0;11.95;3;;8424730016643;IAP PHARMA POUR FEMME 1 ENVASE 150 ML N  34;6.50;Parafarmacia;;;IAP PHARMA PARFUMS SL;0.00;     
183623;1;11.95;3;;8424730015097;IAP PHARMA POUR HOMME 1 ENVASE 150 ML N  62;6.50;Parafarmacia;;;IAP PHARMA PARFUMS SL;0.00;     
183627;0;3.95;0;;8424730015158;IAP PHARMA POUR HOMME 1 ENVASE 30 ML N  62;1.60;Parafarmacia;;;IAP PHARMA PARFUMS SL;0.00;     
183637;0;7.95;2;;3578835310474;ARKOCAPSULAS BARDANA BIO 45 CAPSULAS;5.88;Productos Varios;;;ARKOPHARMA LABORATORIOS S.A.U.;0.00;     
183890;6;28.95;3;;8470001838902;FOTOPROTECTOR ISDIN PEDIATRICS FUSION WATER SPF 50+ 1 ENVASE;14.91;Parafarmacia;;;ISDIN, S.A.;0.00;     
183969;3;37.95;2;;8470001839695;SUNISDIN 30 CAPSULAS;23.06;Productos Varios;;;ISDIN, S.A.;0.00;     
183974;4;32.95;3;;8429420281547;ISDIN FOTOULTRA AGE REPAIR 1 FRASCO 50 ML;16.82;Parafarmacia;;;ISDIN, S.A.;0.00;     
598132;4;38.90;2;;;ANTI-OX GLOBAL;21.22;Productos Varios;;;;0.00;
184232;1;9.30;3;;8058664086146;PORTACHUPETE DOBLE CHICCO POP FRIENDS 0M+;5.61;Productos Varios;;;ARTSANA SPAIN S.A.U.;0.00;     
184258;0;48.50;2;;3282779320825;KLORANE TRIO KERATINCAPS  3 CAJAS 30 CAPSULAS;29.60;Productos Varios;;;PIERRE FABRE IBERICA S.A.;0.00;     
184332;0;42.95;3;;8470001843326;PACK SPORT FOTOPROTECTOR ISDIN FUSION SPF50+ GEL 1 ENVASE 10;22.85;Producto Nuevo;;;;0.00;     
184557;1;5.95;2;;8470001845573;VENDA ELASTICA COHESIVA ACOFAR 1 UNIDAD 4 M X 8 CM;2.97;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
184584;12;3.50;2;;8470001845849;AGUA OXIGENADA ACOFAR 5% 1 FRASCO 250 ML;0.00;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
184615;0;9.80;3;;8470001846150;VICKS BABYRUB 1 ENVASE 50 G;5.12;Productos Varios;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;     
184629;2;10.95;2;;8470001846297;ACOFARMA NESIRA SOLUCION UNICA HIALURONATO SODICO 1 ENVASE 3;5.38;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
184701;10;19.95;2;;8470001847010;DORMINATUR GUMMIES 60 CARAMELOS DE GOMA SABOR A FRUTA;10.88;Productos Varios;;;ESTEVE PHARMACEUTICALS S.A.;0.00;     
184718;1;16.95;3;;8427426051331;PERIO AID GEL BIOADHESIVO 1 ENVASE 30 ML;8.99;Parafarmacia;;;DENTAID S.L.;0.00;     
184727;0;18.95;3;;3664492015217;URGO VERRUGAS RESISTENTES  1 STICK 2 G;9.45;Parafarmacia;;;LABORATORIOS URGO S.L.;0.00;     
184753;0;12.95;2;;3401560505597;BIOFILM  14 SOBRES;7.09;Productos Varios;;;PILEJE S.L.U.;0.00;     
184769;1;5.50;3;;8427426047228;VITIS KIDS GEL DENTIFRICO 1 ENVASE 50 ML;2.36;Parafarmacia;;;DENTAID S.L.;0.00;     
184773;1;5.50;3;;8427426047075;CEPILLO DENTAL INFANTIL VITIS BABY;2.93;Parafarmacia;;;DENTAID S.L.;0.00;     
184834;0;18.95;3;;8470001848345;LACER MUCOREPAIR GEL TOPICO 1 ENVASE 30 ML;10.38;Parafarmacia;;;LACER S.A.U.;0.00;     
184847;16;12.79;2;;8437010164163;BANOFTAL MULTIDOSIS OJO SECO 0.4% 1 ENVASE 10 ML;5.51;Productos Varios;;;REVA HEALTH S.L.;0.00;     
185134;5;2.30;2;;4030300002820;VICKS PRAIMS VAPOMENTOL 1 ENVASE 72 G;0.93;Productos Varios;;;REVA HEALTH S.L.;0.00;     
185160;1;10.80;3;;7630019905824;SOFT PICKS PALILLO INTERDENTAL GUM 649 M30 ADVANCED SMALL 30;4.79;Parafarmacia;;;SUNSTAR IBERIA S.L.U.;0.00;     
185291;11;2.50;2;;8470001852915;AGUA OXIGENADA KERN PHARMA 5,1% 1 FRASCO 250 ML;0.93;Parafarmacia;;;KERN PHARMA S.L.;0.00;     
185330;1;21.95;3;;4005800631191;OLEOGEL DE DUCHA EUCERIN PIEL SENSIBLE PH-5 1 ENVASE 1 L;11.11;Parafarmacia;;;BEIERSDORF S.A.;0.00;     
185510;4;14.95;3;;8470001855107;ACNIBEN ON THE SPOT ISDIN TEEN SKIN 1 ENVASE 15 ML;8.08;Parafarmacia;;;ISDIN, S.A.;0.00;     
185526;2;11.95;3;;8424730017404;IAP PHARMA POUR HOMME 1 ENVASE 150 ML N  65;6.25;Parafarmacia;;;IAP PHARMA PARFUMS SL;0.00;     
185527;0;11.95;3;;8424730017398;IAP PHARMA POUR FEMME 1 ENVASE 150 ML N  35;7.11;Parafarmacia;;;IAP PHARMA PARFUMS SL;0.00;     
185528;0;11.95;3;;8424730017381;IAP PHARMA POUR FEMME 1 ENVASE 150 ML N  36;7.11;Parafarmacia;;;IAP PHARMA PARFUMS SL;0.00;     
185568;0;4.95;3;;3282770113532;KLORANE JABON CREMA FLEUR DE CUPUACU 1 ENVASE 100 G;2.32;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;     
185569;0;4.95;3;;3282770206944;KLORANE JABON CREMA FLEUR D´HIBISCUS 1 ENVASE 100 G;2.32;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;     
185651;0;17.10;2;;8470001856517;AQUORAL NOCHE POMADA OCULAR LUBRICANTE ESTERIL 1 TUBO 5 G;10.23;Productos Varios;;;ESTEVE PHARMACEUTICALS S.A.;0.00;     
185798;0;80.95;3;;073950204170;IRRIGADOR BUCAL INALAMBRICO WATERPIK CORDLESS EXPRESS WP 02 ;43.67;Parafarmacia;;;DENTAID S.L.;0.00;     
185802;1;134.93;3;;073950241434;IRRIGADOR BUCAL ELECTRICO WATERPIK WP- 300 TRAVELER CON ADAP;73.09;Parafarmacia;;;DENTAID S.L.;0.00;     
185803;0;134.93;3;;073950241458;IRRIGADOR BUCAL ELECTRICO WATERPIK WP- 300 TRAVELER CON ADAP;73.09;Parafarmacia;;;DENTAID S.L.;0.00;     
185826;0;15.80;2;;8470001858269;NAVIBLEF CUIDADO DIARIO ESPUMA 1 ENVASE 50 ML;11.03;Productos Varios;;;LLORENS LABORATORIO,S.L.;0.00;     
185968;1;28.50;3;;8431602001119;RHINODOUCHE PACK IRRIGADOR NASAL + RHINODOUCHE SAL 1 ENVASE;15.42;Productos Varios;;;INMUNOTEK S.L.;0.00;     
